id,file_name,category
0,img-000000.jpeg,parrot
1,img-000001.jpeg,horse
2,img-000002.jpeg,giraffe
3,img-000003.jpeg,pigeon
4,img-000004.jpeg,table
5,img-000005.jpeg,duck
6,img-000006.jpeg,duck
7,img-000007.png,dog
8,img-000008.jpeg,horse
9,img-000009.jpeg,pigeon
10,img-000010.jpeg,cat
11,img-000011.jpeg,table
12,img-000012.jpeg,pillow
13,img-000013.jpeg,pigeon
14,img-000014.jpeg,pillow
15,img-000015.jpeg,crow
16,img-000016.jpeg,dog
17,img-000017.jpeg,pillow
18,img-000018.jpeg,duck
19,img-000019.jpeg,dog
20,img-000020.jpeg,sunflower
21,img-000021.jpeg,horse
22,img-000022.jpeg,parrot
23,img-000023.jpeg,pigeon
24,img-000024.jpeg,pigeon
25,img-000025.jpeg,cat
26,img-000026.jpeg,cow
27,img-000027.jpeg,horse
28,img-000028.jpeg,tiger
29,img-000029.jpeg,cow
30,img-000030.jpeg,tiger.jpg
31,img-000031.jpeg,table
32,img-000032.jpeg,cow
33,img-000033.jpeg,cat
34,img-000034.jpeg,crow
35,img-000035.jpeg,duck
36,img-000036.jpeg,duck
37,img-000037.jpeg,cow
38,img-000038.jpeg,cat
39,img-000039.jpeg,pillow
40,img-000040.jpeg,duck
41,img-000041.jpeg,cat
42,img-000042.jpeg,pigeon
43,img-000043.jpeg,cow
44,img-000044.jpeg,sunflower
45,img-000045.jpeg,tiger
46,img-000046.jpeg,cow
47,img-000047.jpeg,giraffe
48,img-000048.jpeg,table
49,img-000049.jpeg,crow
50,img-000050.jpeg,giraffe
51,img-000051.jpeg,giraffe
52,img-000052.jpeg,cow
53,img-000053.jpeg,dog
54,img-000054.jpeg,tiger
55,img-000055.jpeg,horse
56,img-000056.jpeg,sunflower
57,img-000057.jpeg,giraffe
58,img-000058.jpeg,parrot
59,img-000059.jpeg,duck
